Unit	F	f_feminin	score_feminin	f_manuel	score_manuel	f_masculin	score_masculin
洞里	9	4	0.2297	0	-0.8513	5	0.6636
观音菩萨	9	3	-0.3864	0	-0.8513	6	1.1296
想到	9	9	3.3075	0	-0.8513	0	-1.8386
那些	9	5	0.4813	0	-0.8513	4	0.3422
脱身	9	7	1.4224	0	-0.8513	2	-0.5509
挑着	9	6	0.8685	0	-0.8513	3	-0.2634
担子	9	5	0.4813	0	-0.8513	4	0.3422
猪八戒	9	6	0.8685	0	-0.8513	3	-0.2634
一顿	9	5	0.4813	0	-0.8513	4	0.3422
斋饭	9	2	-0.7423	0	-0.8513	7	1.7682
坐	9	2	-0.7423	0	-0.8513	7	1.7682
不必	9	3	-0.3864	0	-0.8513	6	1.1296
径往	9	8	2.1942	0	-0.8513	1	-1.032
败下阵来	9	7	1.4224	0	-0.8513	2	-0.5509
死	9	6	0.8685	0	-0.8513	3	-0.2634
富贵	9	9	3.3075	0	-0.8513	0	-1.8386
那星官	9	2	-0.7423	0	-0.8513	7	1.7682
等候	9	7	1.4224	0	-0.8513	2	-0.5509
女妖精	9	9	3.3075	0	-0.8513	0	-1.8386
小妖	9	0	-2.1914	0	-0.8513	9	3.8324
师兄	8	0	-1.9479	1	-0.2873	7	2.2503
大哥	8	0	-1.9479	2	0.3152	6	1.4425
猴哥	8	0	-1.9479	4	1.2808	4	0.4571
真真	8	5	0.6538	1	-0.2873	2	-0.4327
收	8	6	1.1528	0	-0.7567	2	-0.4327
嘴	8	2	-0.5891	0	-0.7567	6	1.4425
俊俏	8	8	2.94	0	-0.7567	0	-1.6343
掣出	8	6	1.1528	0	-0.7567	2	-0.4327
骗	8	6	1.1528	0	-0.7567	2	-0.4327
头痛	8	8	2.94	0	-0.7567	0	-1.6343
真是	8	3	-0.2791	0	-0.7567	5	0.8612
几分	8	3	-0.2791	0	-0.7567	5	0.8612
一棒	8	2	-0.5891	0	-0.7567	6	1.4425
回去	8	4	0.3242	0	-0.7567	4	0.4571
一路	8	5	0.6538	0	-0.7567	3	-0.1865
如此	8	7	1.8737	0	-0.7567	1	-0.8704
捂着	8	1	-1.1018	0	-0.7567	7	2.2503
哼哼唧唧	8	5	0.6538	0	-0.7567	3	-0.1865
一番	8	5	0.6538	0	-0.7567	3	-0.1865
门前	8	4	0.3242	0	-0.7567	4	0.4571
罢了	8	5	0.6538	0	-0.7567	3	-0.1865
无	8	3	-0.2791	0	-0.7567	5	0.8612
孩子	8	2	-0.5891	0	-0.7567	6	1.4425
落胎	8	5	0.6538	0	-0.7567	3	-0.1865
这些	8	2	-0.5891	0	-0.7567	6	1.4425
下来	8	4	0.3242	0	-0.7567	4	0.4571
一处	8	2	-0.5891	0	-0.7567	6	1.4425
回到	8	3	-0.2791	0	-0.7567	5	0.8612
放	8	6	1.1528	0	-0.7567	2	-0.4327
起身	8	5	0.6538	0	-0.7567	3	-0.1865
无奈	8	7	1.8737	0	-0.7567	1	-0.8704
飞	8	3	-0.2791	0	-0.7567	5	0.8612
还要	8	6	1.1528	0	-0.7567	2	-0.4327
众	8	2	-0.5891	0	-0.7567	6	1.4425
倒换	8	5	0.6538	0	-0.7567	3	-0.1865
甚么	8	1	-1.1018	0	-0.7567	7	2.2503
路	8	1	-1.1018	0	-0.7567	7	2.2503
蛰	8	8	2.94	0	-0.7567	0	-1.6343
现了	8	5	0.6538	0	-0.7567	3	-0.1865
休	8	2	-0.5891	0	-0.7567	6	1.4425
正在	8	2	-0.5891	0	-0.7567	6	1.4425
金光	8	2	-0.5891	0	-0.7567	6	1.4425
星	8	1	-1.1018	0	-0.7567	7	2.2503
官道	8	1	-1.1018	0	-0.7567	7	2.2503
马	8	3	-0.2791	0	-0.7567	5	0.8612
高耸	8	1	-1.1018	0	-0.7567	7	2.2503
抓耳挠腮	8	6	1.1528	0	-0.7567	2	-0.4327
娘子	8	8	2.94	0	-0.7567	0	-1.6343
那真仙	8	0	-1.9479	0	-0.7567	8	3.4065
哥	8	0	-1.9479	0	-0.7567	8	3.4065
莫念	7	2	-0.4458	5	2.3745	0	-1.43
二哥	7	0	-1.7043	3	0.8518	4	0.6137
爷爷	7	4	0.4584	1	-0.2302	2	-0.3234
兄弟	7	0	-1.7043	3	0.8518	4	0.6137
爱爱	7	4	0.4584	1	-0.2302	2	-0.3234
纵起	7	3	-0.1857	0	-0.6621	4	0.6137
钵盂	7	3	-0.1857	0	-0.6621	4	0.6137
受	7	4	0.4584	0	-0.6621	3	0.2797
变作个	7	2	-0.4458	0	-0.6621	5	1.1297
姐姐	7	6	1.5589	0	-0.6621	1	-0.7136
